total_points,hp,attack,defense,sp_attack,sp_defense,speed
495.0,85.0,105.0,55.0,85.0,50.0,115.0
275.0,45.0,35.0,45.0,62.0,53.0,35.0
450.0,70.0,60.0,70.0,87.0,78.0,85.0
325.0,76.0,48.0,48.0,57.0,62.0,34.0
475.0,111.0,83.0,68.0,92.0,82.0,39.0
482.0,75.0,100.0,66.0,60.0,66.0,115.0
348.0,90.0,50.0,34.0,60.0,44.0,70.0
498.0,150.0,80.0,44.0,90.0,54.0,80.0
350.0,55.0,66.0,44.0,44.0,56.0,85.0
480.0,65.0,76.0,84.0,54.0,96.0,105.0
580.0,65.0,136.0,94.0,54.0,96.0,135.0
495.0,60.0,60.0,60.0,105.0,105.0,105.0
505.0,100.0,125.0,52.0,105.0,52.0,71.0
310.0,49.0,55.0,42.0,42.0,37.0,85.0
452.0,71.0,82.0,64.0,64.0,59.0,112.0
285.0,45.0,30.0,50.0,65.0,50.0,45.0
329.0,63.0,63.0,47.0,41.0,41.0,74.0
479.0,103.0,93.0,67.0,71.0,61.0,84.0
300.0,57.0,24.0,86.0,24.0,86.0,23.0
500.0,67.0,89.0,116.0,79.0,116.0,33.0
290.0,50.0,80.0,95.0,10.0,45.0,10.0
310.0,20.0,25.0,45.0,70.0,90.0,60.0
220.0,100.0,5.0,5.0,15.0,65.0,30.0
411.0,76.0,65.0,45.0,92.0,42.0,91.0
485.0,50.0,92.0,108.0,92.0,108.0,35.0
300.0,58.0,70.0,45.0,40.0,45.0,42.0
410.0,68.0,90.0,65.0,50.0,55.0,82.0
600.0,108.0,130.0,95.0,80.0,85.0,102.0
700.0,108.0,170.0,115.0,120.0,95.0,92.0
390.0,135.0,85.0,40.0,40.0,85.0,5.0
285.0,40.0,70.0,40.0,35.0,40.0,60.0
525.0,70.0,110.0,70.0,115.0,70.0,90.0
625.0,70.0,145.0,88.0,140.0,70.0,112.0
330.0,68.0,72.0,78.0,38.0,42.0,32.0
525.0,108.0,112.0,118.0,68.0,72.0,47.0
330.0,40.0,50.0,90.0,30.0,55.0,65.0
500.0,70.0,90.0,110.0,60.0,75.0,95.0
300.0,48.0,61.0,40.0,61.0,40.0,50.0
490.0,83.0,106.0,65.0,86.0,65.0,85.0
454.0,74.0,100.0,72.0,90.0,72.0,46.0
330.0,49.0,49.0,56.0,49.0,61.0,66.0
460.0,69.0,69.0,76.0,69.0,86.0,91.0
345.0,45.0,20.0,50.0,60.0,120.0,50.0
334.0,60.0,62.0,50.0,62.0,60.0,40.0
494.0,90.0,92.0,75.0,92.0,85.0,60.0
594.0,90.0,132.0,105.0,132.0,105.0,30.0
510.0,70.0,120.0,65.0,45.0,85.0,125.0
535.0,70.0,70.0,115.0,130.0,90.0,60.0
515.0,110.0,85.0,95.0,80.0,95.0,50.0
535.0,115.0,140.0,130.0,55.0,55.0,40.0
535.0,100.0,100.0,125.0,110.0,50.0,50.0
540.0,75.0,123.0,67.0,95.0,85.0,95.0
540.0,75.0,95.0,67.0,125.0,95.0,83.0
545.0,85.0,50.0,95.0,120.0,115.0,80.0
515.0,86.0,76.0,86.0,116.0,56.0,95.0
525.0,65.0,110.0,130.0,60.0,65.0,95.0
525.0,65.0,60.0,110.0,130.0,95.0,65.0
510.0,75.0,95.0,125.0,45.0,75.0,95.0
530.0,110.0,130.0,80.0,70.0,60.0,80.0
535.0,85.0,80.0,70.0,135.0,75.0,90.0
518.0,68.0,125.0,65.0,65.0,115.0,80.0
618.0,68.0,165.0,95.0,65.0,115.0,110.0
525.0,60.0,55.0,145.0,75.0,150.0,40.0
525.0,45.0,100.0,135.0,65.0,135.0,45.0
480.0,70.0,80.0,70.0,80.0,70.0,110.0
440.0,50.0,50.0,77.0,95.0,77.0,91.0
520.0,50.0,65.0,107.0,105.0,107.0,86.0
520.0,50.0,65.0,107.0,105.0,107.0,86.0
520.0,50.0,65.0,107.0,105.0,107.0,86.0
520.0,50.0,65.0,107.0,105.0,107.0,86.0
520.0,50.0,65.0,107.0,105.0,107.0,86.0
580.0,75.0,75.0,130.0,75.0,130.0,95.0
580.0,80.0,105.0,105.0,105.0,105.0,80.0
580.0,75.0,125.0,70.0,125.0,70.0,115.0
680.0,100.0,120.0,120.0,150.0,100.0,90.0
680.0,90.0,120.0,100.0,150.0,120.0,100.0
600.0,91.0,90.0,106.0,130.0,106.0,77.0
670.0,110.0,160.0,110.0,80.0,110.0,100.0
680.0,150.0,100.0,120.0,100.0,120.0,90.0
680.0,150.0,120.0,100.0,120.0,100.0,90.0
600.0,120.0,70.0,120.0,75.0,130.0,85.0
480.0,80.0,80.0,80.0,80.0,80.0,80.0
600.0,100.0,100.0,100.0,100.0,100.0,100.0
600.0,70.0,90.0,90.0,135.0,90.0,125.0
600.0,100.0,100.0,100.0,100.0,100.0,100.0
600.0,100.0,103.0,75.0,120.0,75.0,127.0
720.0,120.0,120.0,120.0,120.0,120.0,120.0
600.0,100.0,100.0,100.0,100.0,100.0,100.0
308.0,45.0,45.0,55.0,45.0,55.0,63.0
413.0,60.0,60.0,75.0,60.0,75.0,83.0
528.0,75.0,75.0,95.0,75.0,95.0,113.0
308.0,65.0,63.0,45.0,45.0,45.0,45.0
418.0,90.0,93.0,55.0,70.0,55.0,55.0
528.0,110.0,123.0,65.0,100.0,65.0,65.0
308.0,55.0,55.0,45.0,63.0,45.0,45.0
413.0,75.0,75.0,60.0,83.0,60.0,60.0
528.0,95.0,100.0,85.0,108.0,70.0,70.0
255.0,45.0,55.0,39.0,35.0,39.0,42.0
420.0,60.0,85.0,69.0,60.0,69.0,77.0
275.0,45.0,60.0,45.0,25.0,45.0,55.0
370.0,65.0,80.0,65.0,35.0,65.0,60.0
500.0,85.0,110.0,90.0,45.0,90.0,80.0
281.0,41.0,50.0,37.0,50.0,37.0,66.0
446.0,64.0,88.0,50.0,88.0,50.0,106.0
316.0,50.0,53.0,48.0,53.0,48.0,64.0
498.0,75.0,98.0,63.0,98.0,63.0,101.0
316.0,50.0,53.0,48.0,53.0,48.0,64.0
498.0,75.0,98.0,63.0,98.0,63.0,101.0
316.0,50.0,53.0,48.0,53.0,48.0,64.0
498.0,75.0,98.0,63.0,98.0,63.0,101.0
292.0,76.0,25.0,45.0,67.0,55.0,24.0
487.0,116.0,55.0,85.0,107.0,95.0,29.0
264.0,50.0,55.0,50.0,36.0,30.0,43.0
358.0,62.0,77.0,62.0,50.0,42.0,65.0
488.0,80.0,115.0,80.0,65.0,55.0,93.0
295.0,45.0,60.0,32.0,50.0,32.0,76.0
497.0,75.0,100.0,63.0,80.0,63.0,116.0
280.0,55.0,75.0,85.0,25.0,25.0,15.0
390.0,70.0,105.0,105.0,50.0,40.0,20.0
515.0,85.0,135.0,130.0,60.0,80.0,25.0
323.0,65.0,45.0,43.0,55.0,43.0,72.0
425.0,67.0,57.0,55.0,77.0,55.0,114.0
328.0,60.0,85.0,40.0,30.0,45.0,68.0
508.0,110.0,135.0,60.0,50.0,65.0,88.0
445.0,103.0,60.0,86.0,60.0,86.0,50.0
545.0,103.0,60.0,126.0,80.0,126.0,50.0
305.0,75.0,80.0,55.0,25.0,35.0,35.0
405.0,85.0,105.0,85.0,40.0,50.0,40.0
505.0,105.0,140.0,95.0,55.0,65.0,45.0
294.0,50.0,50.0,40.0,50.0,40.0,64.0
384.0,75.0,65.0,55.0,65.0,55.0,69.0
509.0,105.0,95.0,75.0,85.0,75.0,74.0
465.0,120.0,100.0,85.0,30.0,85.0,45.0
465.0,75.0,125.0,75.0,30.0,75.0,85.0
310.0,45.0,53.0,70.0,40.0,60.0,42.0
380.0,55.0,63.0,90.0,50.0,80.0,42.0
500.0,75.0,103.0,80.0,70.0,80.0,92.0
260.0,30.0,45.0,59.0,30.0,39.0,57.0
360.0,40.0,55.0,99.0,40.0,79.0,47.0
485.0,60.0,100.0,89.0,55.0,69.0,112.0
280.0,40.0,27.0,60.0,37.0,50.0,66.0
480.0,60.0,67.0,85.0,77.0,75.0,116.0
280.0,45.0,35.0,50.0,70.0,50.0,30.0
480.0,70.0,60.0,75.0,110.0,75.0,90.0
460.0,70.0,92.0,65.0,80.0,55.0,98.0
460.0,70.0,92.0,65.0,80.0,55.0,98.0
292.0,50.0,72.0,35.0,35.0,35.0,65.0
351.0,60.0,82.0,45.0,45.0,45.0,74.0
519.0,95.0,117.0,80.0,65.0,70.0,92.0
315.0,70.0,90.0,45.0,15.0,45.0,50.0
315.0,70.0,90.0,45.0,15.0,45.0,50.0
480.0,105.0,140.0,55.0,30.0,55.0,95.0
540.0,105.0,30.0,105.0,140.0,105.0,55.0
480.0,105.0,140.0,55.0,30.0,55.0,95.0
540.0,105.0,160.0,55.0,30.0,55.0,135.0
461.0,75.0,86.0,67.0,106.0,67.0,60.0
325.0,50.0,65.0,85.0,35.0,35.0,55.0
485.0,70.0,105.0,125.0,65.0,75.0,45.0
348.0,50.0,75.0,70.0,35.0,70.0,48.0
488.0,65.0,90.0,115.0,45.0,115.0,58.0
490.0,72.0,58.0,80.0,103.0,80.0,97.0
303.0,38.0,30.0,85.0,55.0,65.0,30.0
303.0,38.0,55.0,85.0,30.0,65.0,30.0
483.0,58.0,50.0,145.0,95.0,105.0,30.0
355.0,54.0,78.0,103.0,53.0,45.0,22.0
495.0,74.0,108.0,133.0,83.0,65.0,32.0
401.0,55.0,112.0,45.0,74.0,45.0,70.0
567.0,75.0,140.0,65.0,112.0,65.0,110.0
329.0,50.0,50.0,62.0,40.0,62.0,65.0
474.0,80.0,95.0,82.0,60.0,82.0,75.0
330.0,40.0,65.0,40.0,80.0,40.0,65.0
510.0,60.0,105.0,60.0,120.0,60.0,105.0
300.0,55.0,50.0,40.0,40.0,40.0,75.0
470.0,75.0,95.0,60.0,65.0,60.0,115.0
290.0,45.0,30.0,50.0,55.0,65.0,45.0
390.0,60.0,45.0,70.0,75.0,85.0,55.0
490.0,70.0,55.0,95.0,95.0,110.0,65.0
290.0,45.0,30.0,40.0,105.0,50.0,20.0
370.0,65.0,40.0,50.0,125.0,60.0,30.0
490.0,110.0,65.0,75.0,125.0,85.0,30.0
305.0,62.0,44.0,50.0,44.0,50.0,55.0
473.0,75.0,87.0,63.0,87.0,63.0,98.0
305.0,36.0,50.0,50.0,65.0,60.0,44.0
395.0,51.0,65.0,65.0,80.0,75.0,59.0
535.0,71.0,95.0,85.0,110.0,95.0,79.0
335.0,60.0,60.0,50.0,40.0,50.0,75.0
475.0,80.0,100.0,70.0,60.0,70.0,95.0
428.0,55.0,75.0,60.0,75.0,60.0,103.0
315.0,50.0,75.0,45.0,40.0,45.0,60.0
495.0,70.0,135.0,105.0,60.0,105.0,20.0
294.0,69.0,55.0,45.0,55.0,55.0,15.0
464.0,114.0,85.0,70.0,85.0,80.0,30.0
335.0,55.0,40.0,50.0,65.0,85.0,40.0
480.0,100.0,60.0,70.0,85.0,105.0,60.0
470.0,165.0,75.0,80.0,40.0,45.0,65.0
319.0,50.0,47.0,50.0,57.0,50.0,65.0
472.0,70.0,77.0,60.0,97.0,60.0,108.0
305.0,44.0,50.0,91.0,24.0,86.0,10.0
489.0,74.0,94.0,131.0,54.0,116.0,20.0
300.0,40.0,55.0,70.0,45.0,60.0,30.0
440.0,60.0,80.0,95.0,70.0,85.0,50.0
520.0,60.0,100.0,115.0,70.0,85.0,90.0
275.0,35.0,55.0,40.0,45.0,40.0,60.0
405.0,65.0,85.0,70.0,75.0,70.0,40.0
515.0,85.0,115.0,80.0,105.0,80.0,50.0
335.0,55.0,55.0,55.0,85.0,55.0,30.0
485.0,75.0,75.0,75.0,125.0,95.0,40.0
275.0,50.0,30.0,55.0,65.0,55.0,20.0
370.0,60.0,40.0,60.0,95.0,60.0,55.0
520.0,60.0,55.0,90.0,145.0,90.0,80.0
320.0,46.0,87.0,60.0,30.0,40.0,57.0
410.0,66.0,117.0,70.0,40.0,50.0,67.0
540.0,76.0,147.0,90.0,60.0,70.0,97.0
305.0,55.0,70.0,40.0,60.0,40.0,40.0
505.0,95.0,130.0,80.0,70.0,80.0,50.0
515.0,80.0,50.0,50.0,95.0,135.0,105.0
305.0,50.0,40.0,85.0,40.0,65.0,25.0
495.0,80.0,70.0,40.0,100.0,60.0,145.0
471.0,109.0,66.0,84.0,81.0,99.0,32.0
471.0,109.0,81.0,99.0,66.0,84.0,32.0
350.0,45.0,85.0,50.0,55.0,50.0,65.0
510.0,65.0,125.0,60.0,95.0,60.0,105.0
485.0,77.0,120.0,90.0,60.0,90.0,48.0
303.0,59.0,74.0,50.0,35.0,50.0,35.0
483.0,89.0,124.0,80.0,55.0,80.0,55.0
340.0,45.0,85.0,70.0,40.0,40.0,60.0
490.0,65.0,125.0,100.0,60.0,70.0,70.0
490.0,95.0,110.0,95.0,40.0,95.0,55.0
350.0,70.0,83.0,50.0,37.0,50.0,60.0
510.0,100.0,123.0,75.0,57.0,75.0,80.0
370.0,70.0,55.0,75.0,45.0,65.0,60.0
510.0,110.0,65.0,105.0,55.0,95.0,80.0
484.0,85.0,97.0,66.0,105.0,66.0,65.0
484.0,58.0,109.0,112.0,48.0,48.0,109.0
300.0,52.0,65.0,50.0,45.0,50.0,38.0
420.0,72.0,85.0,70.0,65.0,70.0,58.0
600.0,92.0,105.0,90.0,125.0,90.0,98.0
360.0,55.0,85.0,55.0,50.0,55.0,60.0
550.0,85.0,60.0,65.0,135.0,105.0,100.0
580.0,91.0,90.0,129.0,90.0,72.0,108.0
580.0,91.0,129.0,90.0,72.0,90.0,108.0
580.0,91.0,90.0,72.0,90.0,129.0,108.0
580.0,79.0,115.0,70.0,125.0,80.0,111.0
580.0,79.0,100.0,80.0,110.0,90.0,121.0
580.0,79.0,115.0,70.0,125.0,80.0,111.0
580.0,79.0,105.0,70.0,145.0,80.0,101.0
680.0,100.0,120.0,100.0,150.0,120.0,90.0
680.0,100.0,150.0,120.0,120.0,100.0,90.0
600.0,89.0,125.0,90.0,115.0,80.0,101.0
600.0,89.0,145.0,90.0,105.0,80.0,91.0
660.0,125.0,130.0,90.0,130.0,90.0,95.0
700.0,125.0,170.0,100.0,120.0,90.0,95.0
700.0,125.0,120.0,90.0,170.0,100.0,95.0
580.0,91.0,72.0,90.0,129.0,90.0,108.0
580.0,91.0,72.0,90.0,129.0,90.0,108.0
600.0,100.0,77.0,77.0,128.0,128.0,90.0
600.0,100.0,128.0,90.0,77.0,77.0,128.0
600.0,71.0,120.0,95.0,120.0,95.0,99.0
313.0,56.0,61.0,65.0,48.0,45.0,38.0
405.0,61.0,78.0,95.0,56.0,58.0,57.0
530.0,88.0,107.0,122.0,74.0,75.0,64.0
307.0,40.0,45.0,40.0,62.0,60.0,60.0
409.0,59.0,59.0,58.0,90.0,70.0,73.0
534.0,75.0,69.0,72.0,114.0,100.0,104.0
314.0,41.0,56.0,40.0,62.0,44.0,71.0
405.0,54.0,63.0,52.0,83.0,56.0,97.0
530.0,72.0,95.0,67.0,103.0,71.0,122.0
640.0,72.0,145.0,67.0,153.0,71.0,132.0
237.0,38.0,36.0,38.0,32.0,36.0,57.0
423.0,85.0,56.0,77.0,50.0,77.0,78.0
278.0,45.0,50.0,43.0,40.0,38.0,62.0
382.0,62.0,73.0,55.0,56.0,52.0,84.0
499.0,78.0,81.0,71.0,74.0,69.0,126.0
200.0,38.0,35.0,40.0,27.0,25.0,35.0
213.0,45.0,22.0,60.0,27.0,30.0,29.0
411.0,80.0,52.0,50.0,90.0,50.0,89.0
369.0,62.0,50.0,58.0,73.0,54.0,72.0
507.0,86.0,68.0,72.0,109.0,66.0,106.0
303.0,44.0,38.0,39.0,61.0,79.0,42.0
371.0,54.0,45.0,47.0,75.0,98.0,52.0
552.0,78.0,65.0,68.0,112.0,154.0,75.0
350.0,66.0,65.0,48.0,62.0,57.0,52.0
531.0,123.0,100.0,62.0,97.0,81.0,68.0
348.0,67.0,82.0,62.0,46.0,48.0,43.0
495.0,95.0,124.0,78.0,69.0,71.0,58.0
472.0,75.0,80.0,60.0,65.0,90.0,102.0
355.0,62.0,48.0,54.0,63.0,60.0,68.0
466.0,74.0,48.0,76.0,83.0,81.0,104.0
466.0,74.0,48.0,76.0,83.0,81.0,104.0
325.0,45.0,80.0,100.0,35.0,37.0,28.0
448.0,59.0,110.0,150.0,45.0,49.0,35.0
520.0,60.0,150.0,50.0,150.0,50.0,60.0
520.0,60.0,50.0,150.0,50.0,150.0,60.0
341.0,78.0,52.0,60.0,63.0,65.0,23.0
462.0,101.0,72.0,72.0,99.0,89.0,29.0
341.0,62.0,48.0,66.0,59.0,57.0,49.0
480.0,82.0,80.0,86.0,85.0,75.0,72.0
288.0,53.0,54.0,53.0,37.0,46.0,45.0
482.0,86.0,92.0,88.0,68.0,75.0,73.0
306.0,42.0,52.0,67.0,39.0,56.0,50.0
500.0,72.0,105.0,115.0,54.0,86.0,68.0
320.0,50.0,60.0,60.0,60.0,60.0,30.0
494.0,65.0,75.0,90.0,97.0,123.0,44.0
330.0,50.0,53.0,62.0,58.0,63.0,44.0
500.0,71.0,73.0,88.0,120.0,89.0,59.0
289.0,44.0,38.0,33.0,61.0,43.0,70.0
481.0,62.0,55.0,52.0,109.0,94.0,109.0
362.0,58.0,89.0,77.0,45.0,45.0,48.0
521.0,82.0,121.0,119.0,69.0,59.0,71.0
362.0,77.0,59.0,50.0,67.0,63.0,46.0
521.0,123.0,77.0,72.0,99.0,92.0,58.0
525.0,95.0,65.0,65.0,110.0,130.0,60.0
500.0,78.0,92.0,75.0,74.0,63.0,118.0
431.0,67.0,58.0,57.0,81.0,67.0,101.0
500.0,50.0,50.0,150.0,50.0,150.0,50.0
300.0,45.0,50.0,35.0,55.0,75.0,40.0
452.0,68.0,75.0,53.0,83.0,113.0,60.0
600.0,90.0,100.0,70.0,110.0,150.0,80.0
470.0,57.0,80.0,91.0,80.0,87.0,75.0
309.0,43.0,70.0,48.0,50.0,60.0,38.0
474.0,85.0,110.0,76.0,65.0,82.0,56.0
335.0,49.0,66.0,70.0,44.0,55.0,51.0
335.0,44.0,66.0,70.0,44.0,55.0,56.0
335.0,54.0,66.0,70.0,44.0,55.0,46.0
335.0,59.0,66.0,70.0,44.0,55.0,41.0
494.0,65.0,90.0,122.0,58.0,75.0,84.0
494.0,55.0,85.0,122.0,58.0,75.0,99.0
494.0,75.0,95.0,122.0,58.0,75.0,69.0
494.0,85.0,100.0,122.0,58.0,75.0,54.0
304.0,55.0,69.0,85.0,32.0,35.0,28.0
514.0,95.0,117.0,184.0,44.0,46.0,28.0
245.0,40.0,30.0,35.0,45.0,40.0,55.0
535.0,85.0,70.0,80.0,97.0,80.0,123.0
680.0,126.0,131.0,95.0,131.0,98.0,99.0
680.0,126.0,131.0,95.0,131.0,98.0,99.0
600.0,108.0,100.0,121.0,81.0,95.0,95.0
486.0,54.0,100.0,71.0,61.0,85.0,115.0
708.0,216.0,100.0,121.0,91.0,95.0,85.0
600.0,50.0,100.0,150.0,100.0,150.0,50.0
700.0,50.0,160.0,110.0,160.0,110.0,110.0
600.0,80.0,110.0,60.0,150.0,130.0,70.0
680.0,80.0,160.0,60.0,170.0,130.0,80.0
600.0,80.0,110.0,120.0,130.0,90.0,70.0
320.0,68.0,55.0,55.0,50.0,50.0,42.0
420.0,78.0,75.0,75.0,70.0,70.0,52.0
530.0,78.0,107.0,75.0,100.0,100.0,70.0
320.0,45.0,65.0,40.0,60.0,40.0,70.0
420.0,65.0,85.0,50.0,80.0,50.0,90.0
530.0,95.0,115.0,90.0,80.0,90.0,60.0
320.0,50.0,54.0,54.0,66.0,56.0,40.0
420.0,60.0,69.0,69.0,91.0,81.0,50.0
530.0,80.0,74.0,74.0,126.0,116.0,60.0
265.0,35.0,75.0,30.0,30.0,30.0,65.0
355.0,55.0,85.0,50.0,40.0,50.0,75.0
485.0,80.0,120.0,75.0,75.0,75.0,60.0
253.0,48.0,70.0,30.0,30.0,30.0,45.0
418.0,88.0,110.0,60.0,55.0,60.0,45.0
300.0,47.0,62.0,45.0,55.0,45.0,46.0
400.0,57.0,82.0,95.0,55.0,75.0,36.0
500.0,77.0,70.0,90.0,145.0,75.0,43.0
338.0,47.0,82.0,57.0,42.0,47.0,63.0
478.0,97.0,132.0,77.0,62.0,67.0,43.0
476.0,75.0,70.0,70.0,98.0,70.0,93.0
476.0,75.0,70.0,70.0,98.0,70.0,93.0
476.0,75.0,70.0,70.0,98.0,70.0,93.0
476.0,75.0,70.0,70.0,98.0,70.0,93.0
304.0,40.0,45.0,40.0,55.0,40.0,84.0
464.0,60.0,55.0,60.0,95.0,70.0,124.0
280.0,45.0,65.0,40.0,30.0,40.0,60.0
280.0,45.0,65.0,40.0,30.0,40.0,60.0
487.0,75.0,115.0,65.0,55.0,65.0,112.0
487.0,85.0,115.0,75.0,55.0,75.0,82.0
487.0,75.0,117.0,65.0,55.0,65.0,110.0
175.0,45.0,20.0,20.0,25.0,25.0,40.0
620.0,45.0,140.0,130.0,140.0,135.0,30.0
305.0,50.0,53.0,62.0,43.0,52.0,45.0
495.0,50.0,63.0,152.0,53.0,142.0,35.0
385.0,70.0,100.0,70.0,45.0,55.0,45.0
500.0,100.0,125.0,100.0,55.0,85.0,35.0
269.0,38.0,40.0,52.0,40.0,72.0,27.0
454.0,68.0,70.0,92.0,50.0,132.0,42.0
250.0,40.0,55.0,35.0,50.0,35.0,35.0
480.0,70.0,105.0,90.0,80.0,90.0,45.0
285.0,40.0,35.0,55.0,65.0,75.0,15.0
405.0,60.0,45.0,80.0,90.0,100.0,30.0
320.0,48.0,44.0,40.0,71.0,40.0,77.0
480.0,68.0,64.0,60.0,111.0,60.0,117.0
340.0,70.0,75.0,50.0,45.0,50.0,50.0
500.0,120.0,125.0,80.0,55.0,60.0,60.0
210.0,42.0,30.0,38.0,30.0,38.0,32.0
290.0,52.0,40.0,48.0,40.0,48.0,62.0
510.0,72.0,120.0,98.0,50.0,98.0,72.0
485.0,51.0,52.0,90.0,82.0,110.0,100.0
490.0,90.0,60.0,80.0,90.0,110.0,60.0
490.0,100.0,120.0,90.0,40.0,60.0,80.0
230.0,25.0,35.0,40.0,20.0,30.0,80.0
530.0,75.0,125.0,140.0,60.0,90.0,40.0
320.0,55.0,55.0,80.0,70.0,45.0,15.0
480.0,85.0,75.0,110.0,100.0,75.0,35.0
410.0,55.0,60.0,130.0,30.0,130.0,5.0
534.0,95.0,95.0,95.0,95.0,95.0,59.0
570.0,95.0,95.0,95.0,95.0,95.0,95.0
440.0,60.0,60.0,100.0,60.0,100.0,60.0
500.0,60.0,100.0,60.0,100.0,60.0,120.0
480.0,65.0,115.0,65.0,75.0,95.0,65.0
485.0,60.0,78.0,135.0,91.0,85.0,36.0
435.0,65.0,98.0,63.0,40.0,73.0,96.0
476.0,55.0,90.0,80.0,50.0,105.0,96.0
475.0,68.0,105.0,70.0,70.0,70.0,92.0
485.0,78.0,60.0,85.0,135.0,91.0,36.0
517.0,70.0,131.0,100.0,86.0,90.0,40.0
300.0,45.0,55.0,65.0,45.0,45.0,45.0
420.0,55.0,75.0,90.0,65.0,70.0,65.0
600.0,75.0,110.0,125.0,100.0,105.0,85.0
570.0,70.0,115.0,85.0,95.0,75.0,130.0
570.0,70.0,85.0,75.0,130.0,115.0,95.0
570.0,70.0,130.0,115.0,85.0,95.0,75.0
570.0,70.0,75.0,115.0,95.0,130.0,85.0
200.0,43.0,29.0,31.0,29.0,31.0,37.0
400.0,43.0,29.0,131.0,29.0,131.0,37.0
680.0,137.0,137.0,107.0,113.0,89.0,97.0
680.0,137.0,113.0,89.0,137.0,107.0,97.0
570.0,109.0,53.0,47.0,127.0,131.0,103.0
570.0,107.0,139.0,139.0,53.0,53.0,79.0
570.0,71.0,137.0,37.0,137.0,37.0,151.0
570.0,83.0,89.0,71.0,173.0,71.0,83.0
570.0,97.0,101.0,103.0,107.0,101.0,61.0
570.0,59.0,181.0,131.0,59.0,31.0,109.0
570.0,223.0,101.0,53.0,97.0,53.0,43.0
600.0,97.0,107.0,101.0,127.0,89.0,79.0
680.0,97.0,157.0,127.0,113.0,109.0,77.0
680.0,97.0,113.0,109.0,157.0,127.0,77.0
754.0,97.0,167.0,97.0,167.0,97.0,129.0
600.0,80.0,95.0,115.0,130.0,115.0,65.0
600.0,90.0,125.0,80.0,90.0,90.0,125.0
420.0,67.0,73.0,67.0,73.0,67.0,73.0
540.0,73.0,73.0,73.0,127.0,73.0,121.0
570.0,61.0,131.0,211.0,53.0,101.0,13.0
570.0,53.0,127.0,53.0,151.0,79.0,107.0
600.0,88.0,112.0,75.0,102.0,80.0,143.0
300.0,46.0,65.0,65.0,55.0,35.0,34.0
600.0,135.0,143.0,143.0,80.0,65.0,34.0
310.0,50.0,65.0,50.0,40.0,40.0,65.0
420.0,70.0,85.0,70.0,55.0,60.0,80.0
530.0,100.0,125.0,90.0,60.0,70.0,85.0
310.0,50.0,71.0,40.0,40.0,40.0,69.0
420.0,65.0,86.0,60.0,55.0,60.0,94.0
530.0,80.0,116.0,75.0,65.0,75.0,119.0
310.0,50.0,40.0,40.0,70.0,40.0,70.0
420.0,65.0,60.0,55.0,95.0,55.0,90.0
530.0,70.0,85.0,65.0,125.0,65.0,120.0
275.0,70.0,55.0,55.0,35.0,35.0,25.0
460.0,120.0,95.0,95.0,55.0,75.0,20.0
245.0,38.0,47.0,35.0,33.0,35.0,57.0
365.0,68.0,67.0,55.0,43.0,55.0,77.0
495.0,98.0,87.0,105.0,53.0,85.0,67.0
180.0,25.0,20.0,20.0,25.0,45.0,45.0
335.0,50.0,35.0,80.0,50.0,90.0,30.0
505.0,60.0,45.0,110.0,80.0,120.0,90.0
245.0,40.0,28.0,28.0,47.0,52.0,50.0
455.0,70.0,58.0,58.0,87.0,92.0,90.0
250.0,40.0,40.0,60.0,40.0,60.0,10.0
460.0,60.0,50.0,90.0,80.0,120.0,60.0
270.0,42.0,40.0,55.0,40.0,45.0,48.0
490.0,72.0,80.0,100.0,60.0,90.0,88.0
284.0,50.0,64.0,50.0,38.0,38.0,44.0
485.0,90.0,115.0,90.0,48.0,68.0,74.0
270.0,59.0,45.0,50.0,40.0,50.0,26.0
490.0,69.0,90.0,60.0,90.0,60.0,121.0
240.0,30.0,40.0,50.0,40.0,50.0,30.0
410.0,80.0,60.0,90.0,60.0,70.0,50.0
510.0,110.0,80.0,120.0,80.0,90.0,30.0
260.0,40.0,40.0,80.0,40.0,40.0,20.0
485.0,70.0,110.0,80.0,95.0,60.0,70.0
485.0,110.0,85.0,80.0,100.0,80.0,30.0
315.0,52.0,57.0,75.0,35.0,50.0,46.0
510.0,72.0,107.0,125.0,65.0,70.0,71.0
475.0,70.0,85.0,55.0,85.0,95.0,85.0
280.0,41.0,63.0,40.0,40.0,30.0,66.0
490.0,61.0,123.0,60.0,60.0,50.0,136.0
242.0,40.0,38.0,35.0,54.0,35.0,40.0
502.0,75.0,98.0,70.0,114.0,70.0,75.0
502.0,75.0,98.0,70.0,114.0,70.0,75.0
305.0,50.0,65.0,45.0,50.0,50.0,45.0
525.0,100.0,115.0,65.0,90.0,90.0,65.0
310.0,50.0,68.0,60.0,50.0,50.0,32.0
480.0,80.0,118.0,90.0,70.0,80.0,42.0
308.0,40.0,45.0,45.0,74.0,54.0,50.0
508.0,60.0,65.0,65.0,134.0,114.0,70.0
265.0,42.0,30.0,45.0,56.0,53.0,39.0
370.0,57.0,40.0,65.0,86.0,73.0,49.0
510.0,57.0,90.0,95.0,136.0,103.0,29.0
265.0,45.0,45.0,30.0,55.0,40.0,50.0
370.0,65.0,60.0,45.0,75.0,55.0,70.0
510.0,95.0,120.0,65.0,95.0,75.0,60.0
520.0,93.0,90.0,101.0,60.0,81.0,95.0
440.0,70.0,110.0,100.0,50.0,60.0,50.0
510.0,60.0,95.0,50.0,145.0,130.0,30.0
507.0,62.0,135.0,95.0,68.0,82.0,65.0
