pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate
126,Magmar,1,Normal,Spitfire Pokémon,Fire,,1.3,44.5,495.0,65.0,95.0,57.0,100.0,85.0,93.0,45.0,70.0,173.0,Medium Fast
127,Pinsir,1,Normal,Stag Beetle Pokémon,Bug,,1.5,55.0,500.0,65.0,125.0,100.0,55.0,70.0,85.0,45.0,70.0,175.0,Slow
127,Mega Pinsir,1,Normal,Stag Beetle Pokémon,Bug,Flying,1.7,59.0,600.0,65.0,155.0,120.0,65.0,90.0,105.0,45.0,70.0,210.0,Slow
128,Tauros,1,Normal,Wild Bull Pokémon,Normal,,1.4,88.4,490.0,75.0,100.0,95.0,40.0,70.0,110.0,45.0,70.0,172.0,Slow
129,Magikarp,1,Normal,Fish Pokémon,Water,,0.9,10.0,200.0,20.0,10.0,55.0,15.0,20.0,80.0,255.0,70.0,40.0,Slow
130,Gyarados,1,Normal,Atrocious Pokémon,Water,Flying,6.5,235.0,540.0,95.0,125.0,79.0,60.0,100.0,81.0,45.0,70.0,189.0,Slow
130,Mega Gyarados,1,Normal,Atrocious Pokémon,Water,Dark,6.5,305.0,640.0,95.0,155.0,109.0,70.0,130.0,81.0,45.0,70.0,224.0,Slow
131,Lapras,1,Normal,Transport Pokémon,Water,Ice,2.5,220.0,535.0,130.0,85.0,80.0,85.0,95.0,60.0,45.0,70.0,187.0,Slow
132,Ditto,1,Normal,Transform Pokémon,Normal,,0.3,4.0,288.0,48.0,48.0,48.0,48.0,48.0,48.0,35.0,70.0,101.0,Medium Fast
133,Eevee,1,Normal,Evolution Pokémon,Normal,,0.3,6.5,325.0,55.0,55.0,50.0,45.0,65.0,55.0,45.0,70.0,65.0,Medium Fast
133,Partner Eevee,1,Normal,Evolution Pokémon,Normal,,0.3,6.5,435.0,65.0,75.0,70.0,65.0,85.0,75.0,45.0,70.0,65.0,Medium Fast
134,Vaporeon,1,Normal,Bubble Jet Pokémon,Water,,1.0,29.0,525.0,130.0,65.0,60.0,110.0,95.0,65.0,45.0,70.0,184.0,Medium Fast
135,Jolteon,1,Normal,Lightning Pokémon,Electric,,0.8,24.5,525.0,65.0,65.0,60.0,110.0,95.0,130.0,45.0,70.0,184.0,Medium Fast
136,Flareon,1,Normal,Flame Pokémon,Fire,,0.9,25.0,525.0,65.0,130.0,60.0,95.0,110.0,65.0,45.0,70.0,184.0,Medium Fast
137,Porygon,1,Normal,Virtual Pokémon,Normal,,0.8,36.5,395.0,65.0,60.0,70.0,85.0,75.0,40.0,45.0,70.0,79.0,Medium Fast
138,Omanyte,1,Normal,Spiral Pokémon,Rock,Water,0.4,7.5,355.0,35.0,40.0,100.0,90.0,55.0,35.0,45.0,70.0,71.0,Medium Fast
139,Omastar,1,Normal,Spiral Pokémon,Rock,Water,1.0,35.0,495.0,70.0,60.0,125.0,115.0,70.0,55.0,45.0,70.0,173.0,Medium Fast
140,Kabuto,1,Normal,Shellfish Pokémon,Rock,Water,0.5,11.5,355.0,30.0,80.0,90.0,55.0,45.0,55.0,45.0,70.0,71.0,Medium Fast
141,Kabutops,1,Normal,Shellfish Pokémon,Rock,Water,1.3,40.5,495.0,60.0,115.0,105.0,65.0,70.0,80.0,45.0,70.0,173.0,Medium Fast
142,Aerodactyl,1,Normal,Fossil Pokémon,Rock,Flying,1.8,59.0,515.0,80.0,105.0,65.0,60.0,75.0,130.0,45.0,70.0,180.0,Slow
142,Mega Aerodactyl,1,Normal,Fossil Pokémon,Rock,Flying,2.1,79.0,615.0,80.0,135.0,85.0,70.0,95.0,150.0,45.0,70.0,215.0,Slow
143,Snorlax,1,Normal,Sleeping Pokémon,Normal,,2.1,460.0,540.0,160.0,110.0,65.0,65.0,110.0,30.0,25.0,70.0,189.0,Slow
144,Articuno,1,Sub Legendary,Freeze Pokémon,Ice,Flying,1.7,55.4,580.0,90.0,85.0,100.0,95.0,125.0,85.0,3.0,35.0,261.0,Slow
145,Zapdos,1,Sub Legendary,Electric Pokémon,Electric,Flying,1.6,52.6,580.0,90.0,90.0,85.0,125.0,90.0,100.0,3.0,35.0,261.0,Slow
146,Moltres,1,Sub Legendary,Flame Pokémon,Fire,Flying,2.0,60.0,580.0,90.0,100.0,90.0,125.0,85.0,90.0,3.0,35.0,261.0,Slow
147,Dratini,1,Normal,Dragon Pokémon,Dragon,,1.8,3.3,300.0,41.0,64.0,45.0,50.0,50.0,50.0,45.0,35.0,60.0,Slow
148,Dragonair,1,Normal,Dragon Pokémon,Dragon,,4.0,16.5,420.0,61.0,84.0,65.0,70.0,70.0,70.0,45.0,35.0,147.0,Slow
149,Dragonite,1,Normal,Dragon Pokémon,Dragon,Flying,2.2,210.0,600.0,91.0,134.0,95.0,100.0,100.0,80.0,45.0,35.0,270.0,Slow
150,Mewtwo,1,Legendary,Genetic Pokémon,Psychic,,2.0,122.0,680.0,106.0,110.0,90.0,154.0,90.0,130.0,3.0,0.0,306.0,Slow
150,Mega Mewtwo X,1,Legendary,Genetic Pokémon,Psychic,Fighting,2.3,127.0,780.0,106.0,190.0,100.0,154.0,100.0,130.0,3.0,0.0,351.0,Slow
150,Mega Mewtwo Y,1,Legendary,Genetic Pokémon,Psychic,,1.5,33.0,780.0,106.0,150.0,70.0,194.0,120.0,140.0,3.0,0.0,351.0,Slow
151,Mew,1,Mythical,New Species Pokémon,Psychic,,0.4,4.0,600.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,100.0,270.0,Medium Slow
152,Chikorita,2,Normal,Leaf Pokémon,Grass,,0.9,6.4,318.0,45.0,49.0,65.0,49.0,65.0,45.0,45.0,70.0,64.0,Medium Slow
153,Bayleef,2,Normal,Leaf Pokémon,Grass,,1.2,15.8,405.0,60.0,62.0,80.0,63.0,80.0,60.0,45.0,70.0,142.0,Medium Slow
154,Meganium,2,Normal,Herb Pokémon,Grass,,1.8,100.5,525.0,80.0,82.0,100.0,83.0,100.0,80.0,45.0,70.0,236.0,Medium Slow
155,Cyndaquil,2,Normal,Fire Mouse Pokémon,Fire,,0.5,7.9,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,70.0,62.0,Medium Slow
156,Quilava,2,Normal,Volcano Pokémon,Fire,,0.9,19.0,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,70.0,142.0,Medium Slow
157,Typhlosion,2,Normal,Volcano Pokémon,Fire,,1.7,79.5,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,70.0,240.0,Medium Slow
158,Totodile,2,Normal,Big Jaw Pokémon,Water,,0.6,9.5,314.0,50.0,65.0,64.0,44.0,48.0,43.0,45.0,70.0,63.0,Medium Slow
159,Croconaw,2,Normal,Big Jaw Pokémon,Water,,1.1,25.0,405.0,65.0,80.0,80.0,59.0,63.0,58.0,45.0,70.0,142.0,Medium Slow
160,Feraligatr,2,Normal,Big Jaw Pokémon,Water,,2.3,88.8,530.0,85.0,105.0,100.0,79.0,83.0,78.0,45.0,70.0,239.0,Medium Slow
161,Sentret,2,Normal,Scout Pokémon,Normal,,0.8,6.0,215.0,35.0,46.0,34.0,35.0,45.0,20.0,255.0,70.0,43.0,Medium Fast
162,Furret,2,Normal,Long Body Pokémon,Normal,,1.8,32.5,415.0,85.0,76.0,64.0,45.0,55.0,90.0,90.0,70.0,145.0,Medium Fast
163,Hoothoot,2,Normal,Owl Pokémon,Normal,Flying,0.7,21.2,262.0,60.0,30.0,30.0,36.0,56.0,50.0,255.0,70.0,52.0,Medium Fast
164,Noctowl,2,Normal,Owl Pokémon,Normal,Flying,1.6,40.8,452.0,100.0,50.0,50.0,86.0,96.0,70.0,90.0,70.0,158.0,Medium Fast
165,Ledyba,2,Normal,Five Star Pokémon,Bug,Flying,1.0,10.8,265.0,40.0,20.0,30.0,40.0,80.0,55.0,255.0,70.0,53.0,Fast
166,Ledian,2,Normal,Five Star Pokémon,Bug,Flying,1.4,35.6,390.0,55.0,35.0,50.0,55.0,110.0,85.0,90.0,70.0,137.0,Fast
167,Spinarak,2,Normal,String Spit Pokémon,Bug,Poison,0.5,8.5,250.0,40.0,60.0,40.0,40.0,40.0,30.0,255.0,70.0,50.0,Fast
168,Ariados,2,Normal,Long Leg Pokémon,Bug,Poison,1.1,33.5,400.0,70.0,90.0,70.0,60.0,70.0,40.0,90.0,70.0,140.0,Fast
169,Crobat,2,Normal,Bat Pokémon,Poison,Flying,1.8,75.0,535.0,85.0,90.0,80.0,70.0,80.0,130.0,90.0,70.0,241.0,Medium Fast
170,Chinchou,2,Normal,Angler Pokémon,Water,Electric,0.5,12.0,330.0,75.0,38.0,38.0,56.0,56.0,67.0,190.0,70.0,66.0,Slow
171,Lanturn,2,Normal,Light Pokémon,Water,Electric,1.2,22.5,460.0,125.0,58.0,58.0,76.0,76.0,67.0,75.0,70.0,161.0,Slow
172,Pichu,2,Normal,Tiny Mouse Pokémon,Electric,,0.3,2.0,205.0,20.0,40.0,15.0,35.0,35.0,60.0,190.0,70.0,41.0,Medium Fast
173,Cleffa,2,Normal,Star Shape Pokémon,Fairy,,0.3,3.0,218.0,50.0,25.0,28.0,45.0,55.0,15.0,150.0,140.0,44.0,Fast
174,Igglybuff,2,Normal,Balloon Pokémon,Normal,Fairy,0.3,1.0,210.0,90.0,30.0,15.0,40.0,20.0,15.0,170.0,70.0,42.0,Fast
175,Togepi,2,Normal,Spike Ball Pokémon,Fairy,,0.3,1.5,245.0,35.0,20.0,65.0,40.0,65.0,20.0,190.0,70.0,49.0,Fast
176,Togetic,2,Normal,Happiness Pokémon,Fairy,Flying,0.6,3.2,405.0,55.0,40.0,85.0,80.0,105.0,40.0,75.0,70.0,142.0,Fast
177,Natu,2,Normal,Tiny Bird Pokémon,Psychic,Flying,0.2,2.0,320.0,40.0,50.0,45.0,70.0,45.0,70.0,190.0,70.0,64.0,Medium Fast
178,Xatu,2,Normal,Mystic Pokémon,Psychic,Flying,1.5,15.0,470.0,65.0,75.0,70.0,95.0,70.0,95.0,75.0,70.0,165.0,Medium Fast
179,Mareep,2,Normal,Wool Pokémon,Electric,,0.6,7.8,280.0,55.0,40.0,40.0,65.0,45.0,35.0,235.0,70.0,56.0,Medium Slow
180,Flaaffy,2,Normal,Wool Pokémon,Electric,,0.8,13.3,365.0,70.0,55.0,55.0,80.0,60.0,45.0,120.0,70.0,128.0,Medium Slow
181,Ampharos,2,Normal,Light Pokémon,Electric,,1.4,61.5,510.0,90.0,75.0,85.0,115.0,90.0,55.0,45.0,70.0,230.0,Medium Slow
181,Mega Ampharos,2,Normal,Light Pokémon,Electric,Dragon,1.4,61.5,610.0,90.0,95.0,105.0,165.0,110.0,45.0,45.0,70.0,275.0,Medium Slow
182,Bellossom,2,Normal,Flower Pokémon,Grass,,0.4,5.8,490.0,75.0,80.0,95.0,90.0,100.0,50.0,45.0,70.0,221.0,Medium Slow
183,Marill,2,Normal,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,250.0,70.0,20.0,50.0,20.0,50.0,40.0,190.0,70.0,88.0,Fast
184,Azumarill,2,Normal,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,420.0,100.0,50.0,80.0,60.0,80.0,50.0,75.0,70.0,189.0,Fast
185,Sudowoodo,2,Normal,Imitation Pokémon,Rock,,1.2,38.0,410.0,70.0,100.0,115.0,30.0,65.0,30.0,65.0,70.0,144.0,Medium Fast
186,Politoed,2,Normal,Frog Pokémon,Water,,1.1,33.9,500.0,90.0,75.0,75.0,90.0,100.0,70.0,45.0,70.0,225.0,Medium Slow
187,Hoppip,2,Normal,Cottonweed Pokémon,Grass,Flying,0.4,0.5,250.0,35.0,35.0,40.0,35.0,55.0,50.0,255.0,70.0,50.0,Medium Slow
188,Skiploom,2,Normal,Cottonweed Pokémon,Grass,Flying,0.6,1.0,340.0,55.0,45.0,50.0,45.0,65.0,80.0,120.0,70.0,119.0,Medium Slow
189,Jumpluff,2,Normal,Cottonweed Pokémon,Grass,Flying,0.8,3.0,460.0,75.0,55.0,70.0,55.0,95.0,110.0,45.0,70.0,207.0,Medium Slow
190,Aipom,2,Normal,Long Tail Pokémon,Normal,,0.8,11.5,360.0,55.0,70.0,55.0,40.0,55.0,85.0,45.0,70.0,72.0,Fast
191,Sunkern,2,Normal,Seed Pokémon,Grass,,0.3,1.8,180.0,30.0,30.0,30.0,30.0,30.0,30.0,235.0,70.0,36.0,Medium Slow
192,Sunflora,2,Normal,Sun Pokémon,Grass,,0.8,8.5,425.0,75.0,75.0,55.0,105.0,85.0,30.0,120.0,70.0,149.0,Medium Slow
193,Yanma,2,Normal,Clear Wing Pokémon,Bug,Flying,1.2,38.0,390.0,65.0,65.0,45.0,75.0,45.0,95.0,75.0,70.0,78.0,Medium Fast
194,Wooper,2,Normal,Water Fish Pokémon,Water,Ground,0.4,8.5,210.0,55.0,45.0,45.0,25.0,25.0,15.0,255.0,70.0,42.0,Medium Fast
195,Quagsire,2,Normal,Water Fish Pokémon,Water,Ground,1.4,75.0,430.0,95.0,85.0,85.0,65.0,65.0,35.0,90.0,70.0,151.0,Medium Fast
196,Espeon,2,Normal,Sun Pokémon,Psychic,,0.9,26.5,525.0,65.0,65.0,60.0,130.0,95.0,110.0,45.0,70.0,184.0,Medium Fast
197,Umbreon,2,Normal,Moonlight Pokémon,Dark,,1.0,27.0,525.0,95.0,65.0,110.0,60.0,130.0,65.0,45.0,35.0,184.0,Medium Fast
198,Murkrow,2,Normal,Darkness Pokémon,Dark,Flying,0.5,2.1,405.0,60.0,85.0,42.0,85.0,42.0,91.0,30.0,35.0,81.0,Medium Slow
199,Slowking,2,Normal,Royal Pokémon,Water,Psychic,2.0,79.5,490.0,95.0,75.0,80.0,100.0,110.0,30.0,70.0,70.0,172.0,Medium Fast
200,Misdreavus,2,Normal,Screech Pokémon,Ghost,,0.7,1.0,435.0,60.0,60.0,60.0,85.0,85.0,85.0,45.0,35.0,87.0,Fast
201,Unown,2,Normal,Symbol Pokémon,Psychic,,0.5,5.0,336.0,48.0,72.0,48.0,72.0,48.0,48.0,225.0,70.0,118.0,Medium Fast
202,Wobbuffet,2,Normal,Patient Pokémon,Psychic,,1.3,28.5,405.0,190.0,33.0,58.0,33.0,58.0,33.0,45.0,70.0,142.0,Medium Fast
203,Girafarig,2,Normal,Long Neck Pokémon,Normal,Psychic,1.5,41.5,455.0,70.0,80.0,65.0,90.0,65.0,85.0,60.0,70.0,159.0,Medium Fast
204,Pineco,2,Normal,Bagworm Pokémon,Bug,,0.6,7.2,290.0,50.0,65.0,90.0,35.0,35.0,15.0,190.0,70.0,58.0,Medium Fast
205,Forretress,2,Normal,Bagworm Pokémon,Bug,Steel,1.2,125.8,465.0,75.0,90.0,140.0,60.0,60.0,40.0,75.0,70.0,163.0,Medium Fast
206,Dunsparce,2,Normal,Land Snake Pokémon,Normal,,1.5,14.0,415.0,100.0,70.0,70.0,65.0,65.0,45.0,190.0,70.0,145.0,Medium Fast
207,Gligar,2,Normal,FlyScorpion Pokémon,Ground,Flying,1.1,64.8,430.0,65.0,75.0,105.0,35.0,65.0,85.0,60.0,70.0,86.0,Medium Slow
208,Steelix,2,Normal,Iron Snake Pokémon,Steel,Ground,9.2,400.0,510.0,75.0,85.0,200.0,55.0,65.0,30.0,25.0,70.0,179.0,Medium Fast
208,Mega Steelix,2,Normal,Iron Snake Pokémon,Steel,Ground,10.5,740.0,610.0,75.0,125.0,230.0,55.0,95.0,30.0,25.0,70.0,214.0,Medium Fast
209,Snubbull,2,Normal,Fairy Pokémon,Fairy,,0.6,7.8,300.0,60.0,80.0,50.0,40.0,40.0,30.0,190.0,70.0,60.0,Fast
210,Granbull,2,Normal,Fairy Pokémon,Fairy,,1.4,48.7,450.0,90.0,120.0,75.0,60.0,60.0,45.0,75.0,70.0,158.0,Fast
211,Qwilfish,2,Normal,Balloon Pokémon,Water,Poison,0.5,3.9,440.0,65.0,95.0,85.0,55.0,55.0,85.0,45.0,70.0,88.0,Medium Fast
212,Scizor,2,Normal,Pincer Pokémon,Bug,Steel,1.8,118.0,500.0,70.0,130.0,100.0,55.0,80.0,65.0,25.0,70.0,175.0,Medium Fast
212,Mega Scizor,2,Normal,Pincer Pokémon,Bug,Steel,2.0,125.0,600.0,70.0,150.0,140.0,65.0,100.0,75.0,25.0,70.0,210.0,Medium Fast
213,Shuckle,2,Normal,Mold Pokémon,Bug,Rock,0.6,20.5,505.0,20.0,10.0,230.0,10.0,230.0,5.0,190.0,70.0,177.0,Medium Slow
214,Heracross,2,Normal,Single Horn Pokémon,Bug,Fighting,1.5,54.0,500.0,80.0,125.0,75.0,40.0,95.0,85.0,45.0,70.0,175.0,Slow
214,Mega Heracross,2,Normal,Single Horn Pokémon,Bug,Fighting,1.7,62.5,600.0,80.0,185.0,115.0,40.0,105.0,75.0,45.0,70.0,210.0,Slow
215,Sneasel,2,Normal,Sharp Claw Pokémon,Dark,Ice,0.9,28.0,430.0,55.0,95.0,55.0,35.0,75.0,115.0,60.0,35.0,86.0,Medium Slow
216,Teddiursa,2,Normal,Little Bear Pokémon,Normal,,0.6,8.8,330.0,60.0,80.0,50.0,50.0,50.0,40.0,120.0,70.0,66.0,Medium Fast
217,Ursaring,2,Normal,Hibernator Pokémon,Normal,,1.8,125.8,500.0,90.0,130.0,75.0,75.0,75.0,55.0,60.0,70.0,175.0,Medium Fast
218,Slugma,2,Normal,Lava Pokémon,Fire,,0.7,35.0,250.0,40.0,40.0,40.0,70.0,40.0,20.0,190.0,70.0,50.0,Medium Fast
219,Magcargo,2,Normal,Lava Pokémon,Fire,Rock,0.8,55.0,430.0,60.0,50.0,120.0,90.0,80.0,30.0,75.0,70.0,151.0,Medium Fast
220,Swinub,2,Normal,Pig Pokémon,Ice,Ground,0.4,6.5,250.0,50.0,50.0,40.0,30.0,30.0,50.0,225.0,70.0,50.0,Slow
221,Piloswine,2,Normal,Swine Pokémon,Ice,Ground,1.1,55.8,450.0,100.0,100.0,80.0,60.0,60.0,50.0,75.0,70.0,158.0,Slow
222,Corsola,2,Normal,Coral Pokémon,Water,Rock,0.6,5.0,410.0,65.0,55.0,95.0,65.0,95.0,35.0,60.0,70.0,144.0,Fast
222,Galarian Corsola,2,Normal,Coral Pokémon,Ghost,,0.6,0.5,410.0,60.0,55.0,100.0,65.0,100.0,30.0,,,,Fast
223,Remoraid,2,Normal,Jet Pokémon,Water,,0.6,12.0,300.0,35.0,65.0,35.0,65.0,35.0,65.0,190.0,70.0,60.0,Medium Fast
224,Octillery,2,Normal,Jet Pokémon,Water,,0.9,28.5,480.0,75.0,105.0,75.0,105.0,75.0,45.0,75.0,70.0,168.0,Medium Fast
225,Delibird,2,Normal,Delivery Pokémon,Ice,Flying,0.9,16.0,330.0,45.0,55.0,45.0,65.0,45.0,75.0,45.0,70.0,116.0,Fast
226,Mantine,2,Normal,Kite Pokémon,Water,Flying,2.1,220.0,485.0,85.0,40.0,70.0,80.0,140.0,70.0,25.0,70.0,170.0,Slow
227,Skarmory,2,Normal,Armor Bird Pokémon,Steel,Flying,1.7,50.5,465.0,65.0,80.0,140.0,40.0,70.0,70.0,25.0,70.0,163.0,Slow
228,Houndour,2,Normal,Dark Pokémon,Dark,Fire,0.6,10.8,330.0,45.0,60.0,30.0,80.0,50.0,65.0,120.0,35.0,66.0,Slow
229,Houndoom,2,Normal,Dark Pokémon,Dark,Fire,1.4,35.0,500.0,75.0,90.0,50.0,110.0,80.0,95.0,45.0,35.0,175.0,Slow
229,Mega Houndoom,2,Normal,Dark Pokémon,Dark,Fire,1.9,49.5,600.0,75.0,90.0,90.0,140.0,90.0,115.0,45.0,35.0,210.0,Slow
230,Kingdra,2,Normal,Dragon Pokémon,Water,Dragon,1.8,152.0,540.0,75.0,95.0,95.0,95.0,95.0,85.0,45.0,70.0,243.0,Medium Fast
231,Phanpy,2,Normal,Long Nose Pokémon,Ground,,0.5,33.5,330.0,90.0,60.0,60.0,40.0,40.0,40.0,120.0,70.0,66.0,Medium Fast
232,Donphan,2,Normal,Armor Pokémon,Ground,,1.1,120.0,500.0,90.0,120.0,120.0,60.0,60.0,50.0,60.0,70.0,175.0,Medium Fast
233,Porygon2,2,Normal,Virtual Pokémon,Normal,,0.6,32.5,515.0,85.0,80.0,90.0,105.0,95.0,60.0,45.0,70.0,180.0,Medium Fast
234,Stantler,2,Normal,Big Horn Pokémon,Normal,,1.4,71.2,465.0,73.0,95.0,62.0,85.0,65.0,85.0,45.0,70.0,163.0,Slow
235,Smeargle,2,Normal,Painter Pokémon,Normal,,1.2,58.0,250.0,55.0,20.0,35.0,20.0,45.0,75.0,45.0,70.0,88.0,Fast
236,Tyrogue,2,Normal,Scuffle Pokémon,Fighting,,0.7,21.0,210.0,35.0,35.0,35.0,35.0,35.0,35.0,75.0,70.0,42.0,Medium Fast
237,Hitmontop,2,Normal,Handstand Pokémon,Fighting,,1.4,48.0,455.0,50.0,95.0,95.0,35.0,110.0,70.0,45.0,70.0,159.0,Medium Fast
238,Smoochum,2,Normal,Kiss Pokémon,Ice,Psychic,0.4,6.0,305.0,45.0,30.0,15.0,85.0,65.0,65.0,45.0,70.0,61.0,Medium Fast
239,Elekid,2,Normal,Electric Pokémon,Electric,,0.6,23.5,360.0,45.0,63.0,37.0,65.0,55.0,95.0,45.0,70.0,72.0,Medium Fast
240,Magby,2,Normal,Live Coal Pokémon,Fire,,0.7,21.4,365.0,45.0,75.0,37.0,70.0,55.0,83.0,45.0,70.0,73.0,Medium Fast
241,Miltank,2,Normal,Milk Cow Pokémon,Normal,,1.2,75.5,490.0,95.0,80.0,105.0,40.0,70.0,100.0,45.0,70.0,172.0,Slow
242,Blissey,2,Normal,Happiness Pokémon,Normal,,1.5,46.8,540.0,255.0,10.0,10.0,75.0,135.0,55.0,30.0,140.0,608.0,Fast
243,Raikou,2,Sub Legendary,Thunder Pokémon,Electric,,1.9,178.0,580.0,90.0,85.0,75.0,115.0,100.0,115.0,3.0,35.0,261.0,Slow
244,Entei,2,Sub Legendary,Volcano Pokémon,Fire,,2.1,198.0,580.0,115.0,115.0,85.0,90.0,75.0,100.0,3.0,35.0,261.0,Slow
245,Suicune,2,Sub Legendary,Aurora Pokémon,Water,,2.0,187.0,580.0,100.0,75.0,115.0,90.0,115.0,85.0,3.0,35.0,261.0,Slow
246,Larvitar,2,Normal,Rock Skin Pokémon,Rock,Ground,0.6,72.0,300.0,50.0,64.0,50.0,45.0,50.0,41.0,45.0,35.0,60.0,Slow
247,Pupitar,2,Normal,Hard Shell Pokémon,Rock,Ground,1.2,152.0,410.0,70.0,84.0,70.0,65.0,70.0,51.0,45.0,35.0,144.0,Slow
248,Tyranitar,2,Normal,Armor Pokémon,Rock,Dark,2.0,202.0,600.0,100.0,134.0,110.0,95.0,100.0,61.0,45.0,35.0,270.0,Slow
248,Mega Tyranitar,2,Normal,Armor Pokémon,Rock,Dark,2.5,255.0,700.0,100.0,164.0,150.0,95.0,120.0,71.0,45.0,35.0,315.0,Slow
249,Lugia,2,Legendary,Diving Pokémon,Psychic,Flying,5.2,216.0,680.0,106.0,90.0,130.0,90.0,154.0,110.0,3.0,0.0,306.0,Slow
250,Ho-oh,2,Legendary,Rainbow Pokémon,Fire,Flying,3.8,199.0,680.0,106.0,130.0,90.0,110.0,154.0,90.0,3.0,0.0,306.0,Slow
251,Celebi,2,Mythical,Time Travel Pokémon,Psychic,Grass,0.6,5.0,600.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,100.0,270.0,Medium Slow
252,Treecko,3,Normal,Wood Gecko Pokémon,Grass,,0.5,5.0,310.0,40.0,45.0,35.0,65.0,55.0,70.0,45.0,70.0,62.0,Medium Slow
253,Grovyle,3,Normal,Wood Gecko Pokémon,Grass,,0.9,21.6,405.0,50.0,65.0,45.0,85.0,65.0,95.0,45.0,70.0,142.0,Medium Slow
254,Sceptile,3,Normal,Forest Pokémon,Grass,,1.7,52.2,530.0,70.0,85.0,65.0,105.0,85.0,120.0,45.0,70.0,239.0,Medium Slow
254,Mega Sceptile,3,Normal,Forest Pokémon,Grass,Dragon,1.9,55.2,630.0,70.0,110.0,75.0,145.0,85.0,145.0,45.0,70.0,284.0,Medium Slow
255,Torchic,3,Normal,Chick Pokémon,Fire,,0.4,2.5,310.0,45.0,60.0,40.0,70.0,50.0,45.0,45.0,70.0,62.0,Medium Slow
256,Combusken,3,Normal,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,405.0,60.0,85.0,60.0,85.0,60.0,55.0,45.0,70.0,142.0,Medium Slow
257,Blaziken,3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52.0,530.0,80.0,120.0,70.0,110.0,70.0,80.0,45.0,70.0,239.0,Medium Slow
257,Mega Blaziken,3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52.0,630.0,80.0,160.0,80.0,130.0,80.0,100.0,45.0,70.0,284.0,Medium Slow
258,Mudkip,3,Normal,Mud Fish Pokémon,Water,,0.4,7.6,310.0,50.0,70.0,50.0,50.0,50.0,40.0,45.0,70.0,62.0,Medium Slow
259,Marshtomp,3,Normal,Mud Fish Pokémon,Water,Ground,0.7,28.0,405.0,70.0,85.0,70.0,60.0,70.0,50.0,45.0,70.0,142.0,Medium Slow
260,Swampert,3,Normal,Mud Fish Pokémon,Water,Ground,1.5,81.9,535.0,100.0,110.0,90.0,85.0,90.0,60.0,45.0,70.0,241.0,Medium Slow
260,Mega Swampert,3,Normal,Mud Fish Pokémon,Water,Ground,1.9,102.0,635.0,100.0,150.0,110.0,95.0,110.0,70.0,45.0,70.0,286.0,Medium Slow
261,Poochyena,3,Normal,Bite Pokémon,Dark,,0.5,13.6,220.0,35.0,55.0,35.0,30.0,30.0,35.0,255.0,70.0,56.0,Medium Fast
262,Mightyena,3,Normal,Bite Pokémon,Dark,,1.0,37.0,420.0,70.0,90.0,70.0,60.0,60.0,70.0,127.0,70.0,147.0,Medium Fast
263,Zigzagoon,3,Normal,TinyRaccoon Pokémon,Normal,,0.4,17.5,240.0,38.0,30.0,41.0,30.0,41.0,60.0,255.0,70.0,56.0,Medium Fast
263,Galarian Zigzagoon,3,Normal,Tiny Raccoon Pokémon,Dark,Normal,0.4,17.5,240.0,38.0,30.0,41.0,30.0,41.0,60.0,,,,Medium Fast
264,Linoone,3,Normal,Rushing Pokémon,Normal,,0.5,32.5,420.0,78.0,70.0,61.0,50.0,61.0,100.0,90.0,70.0,147.0,Medium Fast
264,Galarian Linoone,3,Normal,Rushing Pokémon,Dark,Normal,0.5,32.5,420.0,78.0,70.0,61.0,50.0,61.0,100.0,,,,Medium Fast
265,Wurmple,3,Normal,Worm Pokémon,Bug,,0.3,3.6,195.0,45.0,45.0,35.0,20.0,30.0,20.0,255.0,70.0,56.0,Medium Fast
266,Silcoon,3,Normal,Cocoon Pokémon,Bug,,0.6,10.0,205.0,50.0,35.0,55.0,25.0,25.0,15.0,120.0,70.0,72.0,Medium Fast
267,Beautifly,3,Normal,Butterfly Pokémon,Bug,Flying,1.0,28.4,395.0,60.0,70.0,50.0,100.0,50.0,65.0,45.0,70.0,178.0,Medium Fast
268,Cascoon,3,Normal,Cocoon Pokémon,Bug,,0.7,11.5,205.0,50.0,35.0,55.0,25.0,25.0,15.0,120.0,70.0,72.0,Medium Fast
269,Dustox,3,Normal,Poison Moth Pokémon,Bug,Poison,1.2,31.6,385.0,60.0,50.0,70.0,50.0,90.0,65.0,45.0,70.0,173.0,Medium Fast
270,Lotad,3,Normal,Water Weed Pokémon,Water,Grass,0.5,2.6,220.0,40.0,30.0,30.0,40.0,50.0,30.0,255.0,70.0,44.0,Medium Slow
